recall_at	dataset	method	param_name	param_value	recall	qps	source
100	hotpotqa	hnsw_sindi	point	500	0.96474	40.9706	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/hnsw_sindi.txt
100	hotpotqa	fhg	ef_search	100	0.7765	162.127	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
100	hotpotqa	fhg	ef_search	200	0.85916	92.2896	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
100	hotpotqa	fhg	ef_search	300	0.89465	66.3599	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
100	hotpotqa	fhg	ef_search	500	0.92767	42.9828	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
100	hotpotqa	fhg	ef_search	1000	0.95778	23.747	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
100	hotpotqa	uhg	ef_search	100	0.85852	127.385	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
100	hotpotqa	uhg	ef_search	200	0.93025	72.5668	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
100	hotpotqa	uhg	ef_search	300	0.95545	51.4742	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
100	hotpotqa	uhg	ef_search	500	0.97509	32.9591	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
100	hotpotqa	uhg	ef_search	1000	0.98865	17.9064	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
100	msmarco	hnsw	point	100	0.61474	461.767	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
100	msmarco	hnsw	point	200	0.78564	259.931	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
100	msmarco	hnsw	point	300	0.84403	182.454	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
100	msmarco	hnsw	point	500	0.89329	114.651	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
100	msmarco	hnsw	point	800	0.92403	74.4222	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
100	msmarco	hnsw	point	1000	0.93501	60.551	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
