recall_at	dataset	method	point	recall	qps
50	dbpedia-entity	uhg	250	0.966081	65.8352
50	dbpedia-entity	uhg	500	0.980771	35.0071
50	fever	hnsw	50	0.50234	377.169
50	fever	hnsw	100	0.6539	199.499
50	fever	hnsw	150	0.72466	142.706
50	fever	hnsw	250	0.79608	89.4284
50	fever	hnsw	400	0.8468	57.886
50	fever	hnsw	500	0.86756	47.0664
50	fever	sindi	500	0.83514	217.242
50	fever	sindi	750	0.86776	182.768
50	fever	sindi	1000	0.88888	157.427
50	fever	sindi	1500	0.91092	123.684
50	fever	sindi	2500	0.93514	86.7
50	fever	sindi	5000	0.95844	50.0863
50	fever	hnsw_sindi	50	0.75562	172.652
50	fever	hnsw_sindi	75	0.84758	142.72
50	fever	hnsw_sindi	100	0.89152	121.733
50	fever	hnsw_sindi	150	0.93488	94.7479
50	fever	hnsw_sindi	250	0.96554	66.3665
50	fever	fhg	50	0.6617	255.685
50	fever	fhg	100	0.82692	142.45
50	fever	fhg	150	0.8852	101.008
50	fever	fhg	250	0.92452	66.8681
50	fever	fhg	500	0.95378	37.2199
50	fever	uhg	50	0.86556	155.103
50	fever	uhg	100	0.93472	91.9909
50	fever	uhg	150	0.95648	65.7333
50	fever	uhg	250	0.97376	48.293
50	fever	uhg	500	0.98772	26.6815
100	nq	hnsw	100	0.53863	294.341
100	nq	hnsw	200	0.70115	165.459
100	nq	hnsw	300	0.77383	116.417
100	nq	hnsw	500	0.84459	74.7581
100	nq	hnsw	800	0.89299	49.528
100	nq	hnsw	1000	0.91166	40.6866
100	nq	sindi	1000	0.63546	206.42
100	nq	sindi	1500	0.67868	155.188
100	nq	sindi	2000	0.70688	123.965
100	nq	sindi	3000	0.74493	88.874
100	nq	sindi	5000	0.79086	56.8834
100	nq	sindi	10000	0.84463	30.0615
100	nq	hnsw_sindi	100	0.71764	132.418
100	nq	hnsw_sindi	150	0.81765	106.907
100	nq	hnsw_sindi	200	0.8707	76.0724
100	nq	hnsw_sindi	300	0.9224	61.9059
100	nq	hnsw_sindi	500	0.96114	40.2125
100	nq	fhg	100	0.81989	234.715
100	nq	fhg	200	0.8861	138.151
100	nq	fhg	300	0.91391	99.6598
100	nq	fhg	500	0.94007	64.5115
100	nq	fhg	1000	0.96538	35.92
100	nq	uhg	100	0.8769	184.026
100	nq	uhg	200	0.93678	104.837
100	nq	uhg	300	0.95866	75.1393
100	nq	uhg	500	0.97613	48.2258
100	nq	uhg	1000	0.98965	26.1361
100	hotpotqa	hnsw	100	0.48044	206.037
100	hotpotqa	hnsw	200	0.64295	111.409
100	hotpotqa	hnsw	300	0.72466	77.7125
100	hotpotqa	hnsw	500	0.80705	49.512
100	hotpotqa	hnsw	800	0.86528	32.6619
100	hotpotqa	hnsw	1000	0.88769	26.8338
100	hotpotqa	sindi	1000	0.73669	170.978
100	hotpotqa	sindi	1500	0.78004	132.756
100	hotpotqa	sindi	2000	0.80768	108.605
100	hotpotqa	sindi	3000	0.84243	79.2751
100	hotpotqa	sindi	5000	0.87984	52.1582
100	hotpotqa	sindi	10000	0.91714	28.3328
100	hotpotqa	hnsw_sindi	100	0.71131	127.554
100	hotpotqa	hnsw_sindi	150	0.81517	98.058
100	hotpotqa	hnsw_sindi	200	0.87129	80.4589
100	hotpotqa	hnsw_sindi	300	0.92691	59.7959
100	hotpotqa	hnsw_sindi	500	0.96509	40.2767
100	hotpotqa	fhg	100	0.77791	159.765
100	hotpotqa	fhg	200	0.8626	88.2546
100	hotpotqa	fhg	300	0.89553	65.7737
100	hotpotqa	fhg	500	0.92999	41.8184
100	hotpotqa	fhg	1000	0.95835	23.4129
100	hotpotqa	uhg	100	0.85504	125.818
100	hotpotqa	uhg	200	0.92711	71.8843
100	hotpotqa	uhg	300	0.95276	50.5359
100	hotpotqa	uhg	500	0.97325	32.4904
100	hotpotqa	uhg	1000	0.98808	17.6781
100	dbpedia-entity	hnsw	100	0.567366	241.392
100	dbpedia-entity	hnsw	200	0.732655	128.971
100	dbpedia-entity	hnsw	300	0.800385	89.2418
100	dbpedia-entity	hnsw	500	0.861221	56.0791
100	dbpedia-entity	hnsw	800	0.904069	36.4299
100	dbpedia-entity	hnsw	1000	0.919829	29.9072
100	dbpedia-entity	sindi	1000	0.605246	246.924
100	dbpedia-entity	sindi	1500	0.646702	181.02
100	dbpedia-entity	sindi	2000	0.675032	143.322
100	dbpedia-entity	sindi	3000	0.715096	101.738
100	dbpedia-entity	sindi	5000	0.759893	64.5842
100	dbpedia-entity	sindi	10000	0.808351	34.7513
100	dbpedia-entity	hnsw_sindi	100	0.722869	179.717
100	dbpedia-entity	hnsw_sindi	150	0.822013	131.929
100	dbpedia-entity	hnsw_sindi	200	0.871906	105.04
100	dbpedia-entity	hnsw_sindi	300	0.919679	74.6569
100	dbpedia-entity	hnsw_sindi	500	0.953426	48.7278
100	dbpedia-entity	fhg	100	0.817216	195.812
100	dbpedia-entity	fhg	200	0.88182	107.977
100	dbpedia-entity	fhg	300	0.909636	77.3105
100	dbpedia-entity	fhg	500	0.938865	49.0089
100	dbpedia-entity	fhg	1000	0.960193	26.2743
100	dbpedia-entity	uhg	100	0.872206	149.224
100	dbpedia-entity	uhg	200	0.936253	78.7961
100	dbpedia-entity	uhg	300	0.954604	56.7668
100	dbpedia-entity	uhg	500	0.971178	35.1974
100	dbpedia-entity	uhg	1000	0.985246	19.4915
100	fever	hnsw	100	0.49146	206.64
100	fever	hnsw	200	0.64269	109.619
100	fever	hnsw	300	0.71627	75.4542
100	fever	hnsw	500	0.79012	47.1757
100	fever	hnsw	800	0.84451	30.7852
100	fever	hnsw	1000	0.86578	25.1316
100	fever	sindi	1000	0.81474	157.562
100	fever	sindi	1500	0.84975	123.576
100	fever	sindi	2000	0.87187	101.82
100	fever	sindi	3000	0.89819	75.6015
100	fever	sindi	5000	0.92535	50.1375
100	fever	sindi	10000	0.95224	27.3241
100	fever	hnsw_sindi	100	0.74494	121.018
100	fever	hnsw_sindi	150	0.83642	91.4917
100	fever	hnsw_sindi	200	0.88444	76.5454
100	fever	hnsw_sindi	300	0.93034	56.2796
100	fever	hnsw_sindi	500	0.96452	37.3666
100	fever	fhg	100	0.78054	142.762
100	fever	fhg	200	0.87642	80.7827
100	fever	fhg	300	0.91076	57.8572
100	fever	fhg	500	0.93562	37.4898
100	fever	fhg	1000	0.95783	20.7171
100	fever	uhg	100	0.87608	119.297
100	fever	uhg	200	0.93869	66.3411
100	fever	uhg	300	0.95935	46.4382
100	fever	uhg	500	0.9768	29.2615
100	fever	uhg	1000	0.98871	12.7797
200	nq	hnsw	200	0.537275	164.447
200	nq	hnsw	400	0.70262	89.6498
200	nq	hnsw	600	0.778865	63.2522
200	nq	hnsw	1000	0.85257	40.3365
200	nq	hnsw	1600	0.90084	26.6217
200	nq	hnsw	2000	0.918925	21.9756
200	nq	sindi	2000	0.63542	123.87
200	nq	sindi	3000	0.68139	89.0214
200	nq	sindi	4000	0.71341	69.4001
200	nq	sindi	6000	0.75349	48.2519
200	nq	sindi	10000	0.80135	30.07
200	nq	sindi	20000	0.85449	15.508
200	nq	hnsw_sindi	200	0.720455	84.7525
200	nq	hnsw_sindi	300	0.823085	60.2342
200	nq	hnsw_sindi	400	0.876635	52.4307
200	nq	hnsw_sindi	600	0.929155	33.6766
200	nq	hnsw_sindi	1000	0.966825	24.2594
200	nq	fhg	200	0.837225	140.255
200	nq	fhg	400	0.89794	79.1016
200	nq	fhg	600	0.922075	56.2031
200	nq	fhg	1000	0.947865	36.0163
200	nq	fhg	2000	0.970355	19.8025
200	nq	uhg	200	0.88635	105.788
200	nq	uhg	400	0.94308	58.2549
200	nq	uhg	600	0.96362	40.9296
200	nq	uhg	1000	0.97987	26.016
200	nq	uhg	2000	0.991825	14.1016
200	hotpotqa	hnsw	200	0.49284	111.927
200	hotpotqa	hnsw	400	0.658275	60.0216
200	hotpotqa	hnsw	600	0.73944	42.0286
200	hotpotqa	hnsw	1000	0.82266	26.8223
200	hotpotqa	hnsw	1600	0.88064	17.7852
200	hotpotqa	hnsw	2000	0.90195	14.6233
